,plsnt,attnt,snst,aptit,polarity_intense
🌲,0.808,-0.365,0.0,0.0,0.391
🚒,0.5115,0.3935,-0.035,-0.03,0.28
😌,0.39749999999999996,-0.22999999999999998,-0.05,0.4465,0.341
🤗,0.719,-0.58,0.0,0.739,0.679
🎄,0.856,0.0,0.0,0.0,0.285
📩,0.058499999999999996,-0.02,0.0,0.0245,0.034
🍖,0.5195000000000001,0.4835,-0.045,0.0,0.319
🏳,-0.24850000000000003,0.034,0.2555,-0.225,-0.232
🦇,0.723,0.717,0.0,0.0,0.48
💫,0.0,0.0,-0.73,-0.79,-0.507
🔡,0.0,0.706,0.0,0.84,0.515
🍍,0.0,0.064,-0.06,0.085,0.03
👃🏼,0.33266666666666667,0.311,0.007,0.027666666666666662,0.221
🥙,0.145,0.062000000000000006,0.021,0.172,0.119
🚈,0.0905,0.0485,-0.04,0.0,0.033
🔋,0.045,0.0,0.0,0.051,0.032
😬,0.719,-0.58,0.0,0.739,0.679
♨️,0.0,0.0,-0.93,-0.77,-0.567
🌥,-0.4355,0.02125,-0.055749999999999994,-0.13324999999999998,-0.201
🐎,0.0,0.0,0.0,0.071,0.024
🕺,0.292,-0.39,0.0,0.23800000000000002,0.307
👨‍👨‍👧,0.00825,0.04975,-0.0425,0.010499999999999995,0.009
🔪,0.493,0.4595,0.0,0.0,0.318
✊🏽,0.22999999999999998,0.24325,-0.01475,0.013999999999999999,0.158
🚣🏾,0.443,0.47450000000000003,-0.01475,0.0115,0.305
🙍🏿,0.2855,0.4265,-0.21725,-0.015,0.16
🌼,0.0,0.07,0.0,0.071,0.047
🔙,0.059,0.0,0.0,0.049,0.036
✋🏿,0.276,0.057999999999999996,-0.21725,0.11825000000000001,0.078
🎮,-0.485,0.1655,0.22850000000000004,-0.283,-0.277
⚪,-0.275,0.4715,0.2805,-0.255,-0.113
🖤,-0.1755,0.165,0.35250000000000004,-0.1985,-0.187
🎼,0.47400000000000003,0.453,0.0,0.0545,0.327
❎,0.25333333333333335,0.4226666666666667,-0.023333333333333334,0.11133333333333333,0.255
😭,-0.11549999999999999,-0.29,-0.365,0.004500000000000004,-0.062
📳,0.42850000000000005,0.538,0.0,0.1045,0.357
👇🏾,0.05499999999999998,0.2354,0.0892,-0.1848,0.005
🎵,0.0345,0.0,0.0,0.1205,0.052
😘,0.8250000000000001,-0.1253333333333333,0.0,0.417,0.456
🙏🏼,0.4705,0.411,0.0105,-0.03,0.28
😜,0.379,-0.29,0.0,0.3985,0.356
🐻,0.7769999999999999,-0.76,0.0,0.638,0.725
🌘,0.503,-0.47,0.0,0.047,0.34
🐮,0.382,-0.251,0.006,0.3695,0.332
🏥,-0.02,0.0,-0.15,-0.14,-0.103
🐩,-0.72,0.0,0.619,-0.86,-0.733
🚱,-0.18,-0.07,0.0,-0.2,-0.103
🌟,0.881,0.012499999999999956,0.0,0.2915,0.395
💇,0.41550000000000004,0.442,0.0,0.0,0.286
🎁,0.974,0.788,0.0,0.964,0.909
🍎,-0.035,0.093,0.0,0.1255,0.061
👳🏾,0.2124,0.36239999999999994,0.1776,-0.0936,0.101
🚨,0.5523333333333333,0.324,-0.02666666666666667,0.496,0.449
🌰,-0.74,0.0,0.585,-0.61,-0.645
📹,0.0,0.1555,-0.086,0.167,0.079
🕎,0.856,0.0,0.0,0.0,0.285
🌍,-0.8,0.0,-0.82,0.0,-0.54
📱,0.07250000000000001,0.0315,0.0135,0.145,0.078
🙇🏻,0.5252,0.1746,-0.0118,0.1202,0.269
🐛,-0.02,-0.05,0.082,-0.07,-0.041
✅,-0.35250000000000004,0.14350000000000002,0.011000000000000006,-0.096,-0.105
🔫,0.0,0.0,0.79,-0.85,-0.547
🕍,0.0,0.209,0.026,0.184,0.122
🐒,0.786,0.749,0.0,0.0,0.512
👨‍👩‍👧‍👦,0.248,0.04480000000000002,-0.082,0.20059999999999997,0.137
😼,0.5813333333333334,-0.19333333333333333,0.004333333333333333,0.26666666666666666,0.346
⚙,-0.03,-0.06,0.052,0.087,0.022
👶🏽,0.245,0.22624999999999998,0.00525,0.26625,0.244
🌔,0.916,-0.94,0.0,0.0,0.619
👨🏼,0.31366666666666665,0.27399999999999997,0.007,-0.043333333333333335,0.179
🚣🏽,0.36219999999999997,0.3962,-0.0118,0.0464,0.264
🕯,0.0,0.232,-0.1,0.156,0.096
😍,0.719,-0.58,0.0,0.739,0.679
👾,-0.015,0.059,0.639,-0.635,-0.41
🚃,0.393,0.5,-0.035,0.4265,0.428
🎛,0.0,0.203,-0.13,0.18,0.084
🌦,-0.6835,0.0,-0.0027500000000000024,-0.42625,-0.371
🏪,0.36650000000000005,0.3,0.0,0.465,0.377
📝,0.0,0.0,0.0,0.091,0.03
🚹,0.0,-0.07,0.0,0.0,0.023
⛸,-0.905,0.0,0.389,-0.8049999999999999,-0.7
💩,0.283,0.3446666666666667,0.0,-0.008666666666666668,0.206
🦅,0.0,0.105,0.0,0.0,0.035
🤠,0.5983333333333333,-0.39466666666666667,-0.013333333333333334,0.2836666666666667,0.421
🗂,0.5135,-0.378,0.0,0.063,0.318
👈🏾,0.3796,0.0692,0.1732,-0.07819999999999999,0.066
👦🏽,0.38875,0.07124999999999998,0.00525,0.1805,0.212
👞,-0.05,0.068,0.0,0.102,0.04
🌷,0.0,0.067,0.0,0.05,0.039
🕴,0.02074999999999999,0.22649999999999998,-0.1875,0.032,0.031
👨‍❤️‍💋‍👨,0.3243333333333333,0.268,0.0,-0.04666666666666667,0.182
🎊,0.5475,0.305,0.0,-0.02,0.278
🔩,-0.59,0.0,0.945,-0.85,-0.795
🏎,0.722,0.865,0.0,0.748,0.778
🙌🏽,0.4595,0.033749999999999974,0.00525,0.21525,0.234
🚶🏾,0.6206666666666667,0.5686666666666667,0.007,-0.02,0.387
🛄,0.0135,0.11,-0.0965,0.193,0.073
🚧,0.0,0.11,0.009,0.165,0.089
💟,0.154,0.16,-0.095,0.126,0.115
👈🏻,0.3305,0.0755,0.131,-0.06516666666666666,0.07
💥,-0.9,0.0,0.0,-0.82,-0.573
🖌,0.741,0.88,0.0,0.0,0.54
👍🏾,0.606,0.5746666666666667,0.007,-0.02,0.385
💅🏻,0.2052,0.20139999999999997,-0.0064,0.047200000000000006,0.149
💗,-0.17049999999999998,0.165,0.39649999999999996,-0.2635,-0.222
💡,0.10750000000000001,0.10200000000000001,-0.07500000000000001,0.099,0.078
🏟,0.079,-0.1,0.046,0.0,0.044
🌫,-0.09,0.0,-0.05,-0.24,-0.127
🌬,0.8574999999999999,-0.29,0.0,0.3695,0.506
♦️,0.021,0.0,0.0,0.054,0.025
⏰,0.0,0.0,0.08999999999999997,-0.855,-0.315
💪,0.724,0.0,0.0,0.887,0.537
🔑,0.943,-0.78,0.0,0.571,0.765
💊,-0.05,-0.01,-0.08,-0.19,-0.103
☝️,0.074,0.114,0.0,0.126,0.105
👩‍❤️‍👩,0.40900000000000003,0.42300000000000004,-0.185,0.22125,0.289
🖐,0.8029999999999999,-0.295,0.0,0.7095,0.602
🐗,0.746,0.769,0.0,0.0,0.505
🏃,0.4605,0.442,0.0,0.099,0.334
👛,0.0,0.083,0.0,0.0,0.028
🚿,-0.09,0.0,0.0,0.0,-0.03
🐔,0.026,0.069,0.0,0.0,0.032
🔍,0.4415,-0.26049999999999995,0.0125,0.3035,0.331
🐰,0.3595,-0.29,-0.035,0.3695,0.328
👨🏿,0.055249999999999994,0.2055,-0.21725,-0.0325,0.004
🌊,-0.0745,0.044,-0.08,-0.0030000000000000027,-0.038
🔄,0.3715,0.9359999999999999,0.0,0.0,0.436
🎺,0.908,0.913,0.0,0.0,0.607
🛌,0.33433333333333337,0.41533333333333333,-0.016666666666666666,0.09999999999999999,0.278
👼🏼,0.48275,0.2055,0.00525,0.46524999999999994,0.383
🏄🏿,0.2855,0.4265,-0.21725,-0.015,0.16
🤝,0.083,0.129,-0.09,0.155,0.092
☕,0.4755,-0.485,-0.465,-0.0655,0.143
🙏🏾,0.4705,0.411,0.0105,-0.03,0.28
🙌🏿,0.26975,0.012999999999999984,-0.21725,0.16875,0.078
🔳,0.34833333333333333,0.624,0.18700000000000003,-0.17,0.205
🐱,0.3735,-0.29,0.0065,0.4,0.352
💢,0.0215,0.0795,0.33,0.125,-0.035
💆🏼,0.6809999999999999,0.6605,0.00525,-0.015,0.44
⬆️,0.877,0.902,0.0,0.0,0.593
🎦,0.0,0.08,0.0,0.0,0.027
🎀,0.0,0.998,0.0,0.85,0.616
🤺,0.921,0.884,0.0,0.0,0.602
🌺,0.951,-0.84,0.0,0.0,0.597
🍊,0.028,-0.01,0.063,-0.05,-0.025
💅🏼,0.23525,0.22499999999999998,0.012,0.05900000000000001,0.169
🐙,-0.52,0.0,0.728,-0.92,-0.723
🍂,0.74,-0.82,0.0,0.0,0.52
😶,0.2473333333333333,-0.5166666666666666,-0.26666666666666666,-0.07366666666666666,0.141
😐,-0.09050000000000002,-0.29,0.4295,-0.10549999999999998,-0.112
🍐,0.0,-0.01,0.037,-0.04,-0.022
🏅,0.4,0.411,0.0,0.3285,0.38
📃,0.48750000000000004,0.3745,0.005,0.08,0.312
❌,0.008499999999999999,0.16949999999999998,-0.035,0.16699999999999998,0.103
🤣,0.619,0.024333333333333318,0.0,0.3046666666666667,0.316
➖,-0.2743333333333333,0.15666666666666668,-0.15333333333333335,0.08066666666666668,-0.063
🙎🏿,0.2855,0.4265,-0.21725,-0.015,0.16
👱🏾,0.4655,0.4265,0.24175,-0.1975,0.151
👢,0.306,0.228,0.0,0.087,0.207
🏵,-0.69,0.0,0.776,-0.78,-0.749
🗽,0.899,0.979,0.0,0.0,0.626
🍄,0.962,0.0,0.0,0.0,0.321
👇,-0.222,0.11833333333333333,0.14166666666666666,-0.288,-0.178
🔬,0.0,0.07,0.0,0.063,0.044
🍿,0.0,-0.04,-0.05,-0.1,-0.037
🙎,0.921,0.884,0.0,0.0,0.602
🐥,0.021,0.044,0.0,0.4695,0.178
🤡,0.8365,-0.29,0.0,0.3695,0.499
⛰,0.281,0.203,-0.07,0.184,0.199
🖱,-0.275,0.0,0.4775,-0.44499999999999995,-0.399
🌓,0.6106666666666666,0.06100000000000002,0.0,0.066,0.246
🐑,0.0,-0.03,0.057,-0.08,-0.036
🎥,0.4185,-0.01,0.024,-0.025,0.126
🏦,0.031,0.176,0.0,0.0,0.069
🌙,0.503,-0.47,0.0,0.047,0.34
🀄,-0.41000000000000003,0.0505,0.354,0.0525,-0.22
🍑,0.02,-0.05,0.0,0.0,0.023
🔨,-0.03,-0.02,-0.05,-0.15,-0.07
🌏,-0.8,0.0,-0.82,0.0,-0.54
👎🏼,0.06699999999999999,0.35433333333333333,-0.13299999999999998,-0.02,0.089
💪🏿,0.23625,0.2055,-0.21725,0.20675,0.144
🛍,-0.05,0.0,0.021,0.0,-0.024
⛪,0.0,0.213,0.034,0.202,0.127
💁🏾,0.68625,0.279,0.00525,0.11825000000000001,0.359
🍘,-0.1245,0.0,0.381,-0.32,-0.275
⏲,0.0,0.0,0.95,-0.86,-0.603
👈🏼,0.3796,0.0692,0.1732,-0.07819999999999999,0.066
👸,0.885,0.0,0.0,0.982,0.622
💂🏼,0.33,0.3203333333333333,-0.022999999999999996,0.021,0.216
📼,0.0,0.0,0.0,-0.17,-0.057
👰🏼,0.29874999999999996,0.183,-0.025,0.02425,0.16
👪,0.0,0.269,-0.17,0.182,0.094
🤘,0.6306666666666666,0.3506666666666667,0.0,0.3373333333333333,0.44
🍁,0.386,-0.3725,0.0,0.0,0.253
👙,0.842,-0.7,0.0,0.0,0.514
⛲,0.0,0.949,0.0,0.869,0.606
🚸,0.2685,-0.322,0.0,0.3635,0.318
🙆🏻,0.48675,0.45325,-0.01475,-0.015,0.303
📇,0.5135,-0.378,0.0,0.063,0.318
🗜,0.0,0.0,0.942,-0.94,-0.627
✊🏾,0.2936666666666667,0.29666666666666663,-0.019666666666666666,-0.043333333333333335,0.176
💚,0.1145,0.20400000000000001,-0.074,0.1045,0.116
🌳,0.856,0.0,0.0,0.0,0.285
📻,0.064,-0.06,0.054,0.0,0.023
🐵,0.7525,0.08450000000000002,0.0,0.3695,0.402
👉🏽,0.33583333333333326,0.3225,0.14433333333333334,0.027166666666666672,0.18
😝,0.379,-0.29,0.0,0.3985,0.356
💛,0.1245,0.26,-0.14,0.15899999999999997,0.134
🐐,-0.51,0.0,0.838,-0.99,-0.779
😚,0.719,-0.58,0.0,0.739,0.679
📖,-0.04,0.06,-0.075,0.064,0.003
🏈,0.728,0.83,0.0,0.0,0.519
😦,0.5006666666666666,-0.4766666666666666,-0.013333333333333334,0.289,0.418
🚋,0.8565,0.9039999999999999,0.0,0.374,0.712
🐹,0.719,-0.58,0.0,0.739,0.679
🚼,0.0215,0.0795,0.0,0.5945,0.232
👊🏿,0.04024999999999998,0.22249999999999998,-0.23725,-0.0325,-0.002
🚄,0.781,-0.72,0.0,0.587,0.696
⭐️,-0.2555,0.0415,0.2805,-0.162,-0.219
🛥,0.29000000000000004,-0.359,-0.04,0.4555,0.355
💂🏻,0.26875,0.267,-0.03725,0.01575,0.171
🤥,0.719,-0.58,0.0,0.739,0.679
👌🏿,0.276,0.057999999999999996,-0.21725,0.11825000000000001,0.078
🦁,0.3595,-0.7749999999999999,0.0,0.3695,0.501
💲,-0.26099999999999995,0.16366666666666668,-0.147,0.035333333333333335,-0.07
🚶🏻,0.48675,0.45325,-0.01475,-0.015,0.303
⭐,0.15533333333333332,-0.2823333333333334,0.18700000000000003,0.08633333333333332,0.112
✊🏿,0.04024999999999998,0.22249999999999998,-0.23725,-0.0325,-0.002
👮🏽,0.366,0.3736,0.004200000000000001,0.3212,0.352
✋🏻,0.47724999999999995,0.08474999999999999,-0.01475,0.11825000000000001,0.222
🏯,0.021,0.119,0.0,0.129,0.09
👷🏾,0.24275,0.2555,-0.005,0.04175,0.178
💝,0.1245,0.664,-0.095,0.4965,0.397
🌪,0.0,-0.01,-0.08,-0.13,-0.067
👈,0.319,-0.15866666666666665,0.2816666666666667,-0.11033333333333332,0.029
🚵🏼,0.53575,0.47724999999999995,-0.01225,0.031,0.344
🤖,0.3595,0.0685,0.0,0.752,0.393
📵,0.11,0.073,0.0,0.205,0.129
🚠,0.281,0.203,-0.07,0.184,0.199
💨,-0.067,-0.285,0.0,-0.024499999999999966,0.064
🍪,0.035,-0.09,0.0,0.0,0.042
😠,0.3595,-0.29,0.4345,0.3695,0.195
🆑,0.743,0.929,0.0,0.0,0.557
👳🏼,0.2124,0.36239999999999994,0.1776,-0.0936,0.101
💪🏽,0.426,0.22624999999999998,0.00525,0.25325,0.3
🕔,0.0,0.0,0.063,-0.03,-0.031
🛀,0.11433333333333334,0.27799999999999997,0.2333333333333333,-0.27666666666666667,-0.039
🐿,0.026,0.082,-0.04,0.068,0.045
👎🏻,0.07149999999999998,0.2925,-0.11975,-0.015,0.076
👝,0.0,-0.025,0.0,0.057499999999999996,0.027
🍃,0.606,-0.20966666666666667,0.0,0.066,0.294
🌽,0.5613333333333334,0.018,0.010333333333333333,0.3443333333333333,0.304
🈺,0.2625,0.3735,0.0022500000000000003,0.15675,0.264
⛅,-0.5913333333333334,0.0,-0.09066666666666667,-0.25166666666666665,-0.311
🍫,0.45849999999999996,-0.41,0.0,0.0,0.29
☠,0.0,0.075,0.0,0.046,0.04
🚆,0.781,-0.72,0.0,0.587,0.696
🚚,0.8425,-0.875,0.0,0.4595,0.726
👉,0.345,0.3433333333333333,0.2816666666666667,0.012333333333333344,0.14
🤕,0.719,-0.58,0.0,0.739,0.679
👩‍👩‍👦‍👦,0.48279999999999995,0.06380000000000004,-0.13,0.3928,0.27
👍,0.877,0.902,0.0,0.0,0.593
🏚,0.059,0.386,0.34,-0.295,-0.063
🥘,0.43975,0.4165,-0.0175,0.01675,0.285
🐈,0.028,0.0,0.013,0.061,0.025
🏔,0.281,0.203,-0.07,0.184,0.199
👧🏿,0.0635,0.188,-0.21725,-0.015,0.006
👲🏿,0.08,0.1972,-0.18380000000000002,0.0066,0.033
🙅🏽,0.47525,0.44725,0.00525,0.0315,0.316
🕖,0.0,0.0,0.063,-0.03,-0.031
❓,-0.01,0.4875,-0.035,0.4725,0.305
🏕,0.0,0.156,-0.06,0.198,0.098
👘,0.0,-0.04,0.074,-0.05,-0.028
🙇🏾,0.63525,0.1915,0.00525,0.15025,0.324
🉐,0.3565,0.6175,-0.035,0.1205,0.353
📫,0.056499999999999995,0.034,-0.025,0.0595,0.042
🏑,0.7,-0.79,0.0,0.873,0.788
🐚,0.1575,0.032,0.0285,0.172,0.111
🔦,0.0,-0.03,0.043,-0.11,-0.041
🕳,0.788,-0.6,0.0,0.884,0.757
👏🏿,0.26949999999999996,0.012999999999999984,-0.21725,0.20450000000000002,0.09
😽,0.3735,-0.29,0.0065,0.4,0.352
👨‍👩‍👧‍👧,0.1396,0.1548,-0.082,0.0814,0.098
😾,0.3735,-0.29,0.0065,0.4,0.352
🙋🏽,0.607,0.0715,0.0035,0.2323333333333333,0.302
👆🏽,0.32183333333333336,0.32016666666666665,0.14433333333333334,-0.123,0.125
🗡,-0.73,0.0,0.0,-0.94,-0.557
🀄️,-0.07,0.101,0.0,0.105,0.045
👸🏾,0.6086666666666667,0.27399999999999997,0.007,0.3073333333333333,0.394
⛈,-0.63,0.0,0.233,-0.6166666666666666,-0.493
🦆,-0.5,0.0,0.764,-0.61,-0.625
👗,-0.53,0.0,0.569,-0.77,-0.623
📐,0.041499999999999995,-0.02,0.03,0.079,0.037
👧🏾,0.32466666666666666,0.25066666666666665,0.007,-0.02,0.183
👮🏿,0.2142,0.357,-0.1738,0.284,0.227
🕰,0.0,0.0,0.95,-0.86,-0.603
🎖,0.8280000000000001,0.762,0.0,0.3585,0.65
🏄🏾,0.6206666666666667,0.5686666666666667,0.007,-0.02,0.387
🗣,-0.11850000000000005,-0.295,0.261,-0.10899999999999999,-0.065
👼🏻,0.4032,0.1858,-0.0118,0.3722,0.316
🔸,0.27099999999999996,0.27266666666666667,-0.04,-0.035333333333333335,0.156
🃏,-0.86,0.0,-0.86,0.0,-0.573
🖊,0.0,0.096,0.0,0.075,0.057
🛂,0.041,0.1935,-0.1,0.194,0.11
🌶,-0.455,0.0,-0.905,-0.385,-0.582
👂🏼,0.5753333333333334,-0.056000000000000015,0.007,0.307,0.31
🥒,0.0,0.0,0.053,-0.03,-0.028
🤾,0.49,0.422,0.007,0.0,0.302
📯,0.063,0.089,0.036,0.146,0.087
😢,0.719,-0.58,0.0,0.739,0.679
🔇,0.034,-0.02,0.0,0.057,0.037
💾,0.398,0.4335,0.353,-0.49,-0.004
👁‍🗨,-0.275,0.0,0.4345,-0.35,-0.353
😯,0.719,-0.58,0.0,0.739,0.679
👵🏼,0.20825,0.36675,-0.25475000000000003,0.05875,0.126
🥃,0.0,0.069,0.025,0.074,0.039
💅🏽,0.196,0.1966,0.009600000000000001,0.0844,0.156
🚊,0.991,0.943,0.0,0.0,0.645
🤑,0.719,-0.58,0.0,0.739,0.679
💹,-0.04766666666666667,0.2996666666666667,-0.25,0.041666666666666664,0.015
👑,-0.62,0.0,0.961,-0.54,-0.707
⏱,0.808,0.988,0.0,0.0,0.599
☢,-0.02,0.0,0.047,-0.11,-0.059
📡,0.4505,0.533,0.0,0.0415,0.342
📏,0.437,0.0,0.0155,0.0445,0.155
🆒,0.743,0.929,0.0,0.0,0.557
🙅🏿,0.2855,0.4265,-0.21725,-0.015,0.16
👴🏿,-0.1038,0.1644,-0.3338,-0.026000000000000002,-0.1
🗾,0.493,0.5295,0.0065,0.0,0.339
💋,0.4765,0.47950000000000004,-0.035,0.0615,0.327
👡,-0.05,0.068,0.0,0.102,0.04
👍🏻,0.47575,0.45775,-0.01475,-0.015,0.301
🈯,0.3715,0.5055000000000001,0.0,0.0,0.292
👏🏾,0.5993333333333334,0.01733333333333331,0.007,0.27266666666666667,0.294
🐴,0.3595,-0.29,0.0,0.40499999999999997,0.352
💇🏼,0.443,0.4265,0.00525,-0.015,0.283
🙋🏻,0.6146666666666666,0.0755,-0.009833333333333333,0.20133333333333334,0.294
💼,0.0,0.084,0.0,0.0,0.028
🙄,0.81,-0.725,0.0,0.3695,0.635
👥,0.082,0.191,0.0,0.198,0.157
👷🏿,0.0502,0.2044,-0.182,0.0334,0.035
🥀,0.027,0.093,0.025,0.071,0.055
💓,0.249,0.33,-0.19,0.143,0.177
🛳,-0.010499999999999995,0.131,-0.04,0.111,0.064
⁉️,0.0,0.489,-0.06,0.5905,0.34
🔛,0.059,0.0,0.0,0.049,0.036
🖋,0.0,0.5225,0.0,0.472,0.331
👌🏾,0.608,0.07733333333333332,0.007,0.15766666666666668,0.279
📮,0.0,0.0,0.0,0.101,0.034
👨,0.0,0.0,0.0,-0.07,-0.023
😑,0.3595,-0.29,0.492,-0.025500000000000023,0.044
📕,-0.04,0.0,-0.11,0.0,-0.05
📂,-0.0006666666666666673,0.06566666666666666,-0.01,0.085,0.047
👮,0.425,0.4815,0.0,0.74,0.549
😧,0.3595,-0.29,0.398,-0.015500000000000014,0.079
🗺,0.46249999999999997,0.39349999999999996,0.0065,0.452,0.434
👵🏿,0.0226,0.2934,-0.38180000000000003,0.047,-0.006
🖖🏿,0.23725,0.40249999999999997,-0.21725,-0.015,0.136
👊,-0.06,0.068,-0.08,-0.07,-0.047
🆓,0.743,0.929,0.0,0.0,0.557
🐋,0.0,0.0,-0.07,0.0,-0.023
🖥,0.4705,0.4275,0.0,0.035,0.311
♥️,0.249,0.33,-0.19,0.143,0.177
👷,0.015,0.1,-0.0205,0.1135,0.069
🉑,0.842,0.4645,0.0,0.382,0.563
✋🏽,0.46575,0.07874999999999999,0.00525,0.16475,0.235
🐓,0.034,0.088,-0.08,0.14,0.061
☮,0.27,0.306,-0.115,0.2195,0.227
👈🏿,0.19633333333333333,0.057666666666666665,-0.004000000000000006,-0.06516666666666666,0.062
🐃,-0.18,-0.07,0.0,-0.2,-0.103
📪,0.056499999999999995,0.034,-0.025,0.0595,0.042
🐶,0.7344999999999999,-0.73,0.0,0.864,0.776
🚵🏽,0.4364,0.3984,-0.0098,0.062,0.296
🤧,0.719,-0.58,0.0,0.739,0.679
🛏,0.0,0.171,-0.05,0.102,0.074
🔚,0.059,0.0,0.0,0.049,0.036
◼️,-0.28049999999999997,0.0415,0.4475,-0.17700000000000002,-0.288
🔊,0.01966666666666667,0.07833333333333334,0.006666666666666665,0.135,0.075
🚗,-0.04,-0.16,0.0,0.056,0.059
🕚,0.0,0.0,0.063,-0.03,-0.031
⛅️,-0.422,0.0,-0.39,0.0425,-0.256
🏊🏽,0.3802,0.3578,-0.0058000000000000005,0.011199999999999998,0.248
📭,0.024333333333333332,0.06266666666666666,-0.03,0.08233333333333333,0.046
㊙️,0.0,0.835,0.0,0.922,0.586
🔆,0.788,0.962,0.0,0.0,0.583
⚛,0.034499999999999996,0.114,0.0,0.125,0.091
🔐,0.943,-0.78,0.0,0.571,0.765
☂,0.106,0.162,0.037,0.32,0.184
📌,0.0,0.0,-0.88,-0.88,-0.587
⛳,0.3076666666666667,-0.11366666666666665,-0.016666666666666666,0.38066666666666665,0.262
📀,0.0,0.0,0.0,0.07,0.023
🙍🏽,0.47525,0.44725,0.00525,0.0315,0.316
👼🏿,0.24219999999999997,0.1644,-0.1738,0.3722,0.202
✝,0.037,0.184,0.0,0.211,0.144
👨‍❤️‍👨,0.093,0.1005,-0.065,0.03874999999999999,0.056
👋🏼,0.608,0.07733333333333332,0.007,0.15766666666666668,0.279
🛀🏽,0.2205,0.28983333333333333,0.12016666666666666,-0.11733333333333333,0.091
🙃,0.719,-0.58,0.0,0.739,0.679
😇,0.7869999999999999,0.138,0.0,0.3695,0.432
⚫,-0.3,0.4715,0.4475,-0.27,-0.182
📓,-0.02,0.094,0.0,0.097,0.057
🍽,0.3833333333333333,0.083,0.29533333333333334,-0.24,-0.023
📬,0.024333333333333332,0.06266666666666666,-0.03,0.08233333333333333,0.046
🔠,0.0245,0.4095,0.0535,0.501,0.294
🈂️,0.48850000000000005,-0.2605,-0.1,0.51,0.386
📴,-0.20166666666666666,0.021,0.27066666666666667,-0.13666666666666666,-0.196
📺,0.0,0.117,-0.07,0.094,0.047
📢,0.903,0.835,0.0,0.0,0.579
🎟,0.0,0.175,-0.13,0.204,0.083
🔝,0.059,0.0,0.0,0.049,0.036
🈹,0.8465,0.933,0.0,0.0,0.593
👼,0.495,0.0,0.0,0.9604999999999999,0.485
🔁,0.3215,0.5855,-0.065,0.098,0.313
🍜,-0.51,0.0,0.562,-0.69,-0.587
⚡️,0.0,0.14,-0.04,0.165,0.088
👍🏼,0.606,0.5746666666666667,0.007,-0.02,0.385
💑,0.186,0.201,-0.13,0.1475,0.135
🙎🏽,0.47525,0.44725,0.00525,0.0315,0.316
👠,-0.05,0.068,0.0,0.102,0.04
🔗,0.023,0.173,-0.09,0.182,0.096
👷🏽,0.202,0.221,-0.004,0.07060000000000001,0.163
📶,0.16,0.067,0.0,0.083,0.103
💎,0.6200000000000001,-0.565,0.0,0.7005,0.628
🔕,-0.023,-0.005,0.02,-0.006500000000000006,-0.015
